Num.Layers;PTWD;FTWD;INSWORD;Evaluation.Set;Accuracy
3;0.00001;0.0001;-8.0;Test.Set;70.11
3;0.00001;0.0001;-4.0;Train.Set;78.37
3;0.00001;0.0001;-4.0;Test.Set;70.70
3;0.00001;0.0001;-2.0;Train.Set;78.56
3;0.00001;0.0001;-2.0;Test.Set;70.40
3;0.00001;0.0001;0.0;Train.Set;78.29
3;0.00001;0.0001;0.0;Test.Set;69.41
3;0.00001;0.00001;-8.0;Train.Set;77.31
3;0.00001;0.00001;-8.0;Test.Set;70.02
3;0.00001;0.00001;-4.0;Train.Set;78.88
3;0.00001;0.00001;-4.0;Test.Set;70.83
3;0.00001;0.00001;-2.0;Train.Set;79.10
3;0.00001;0.00001;-2.0;Test.Set;70.60
3;0.00001;0.00001;0.0;Train.Set;78.62
3;0.00001;0.00001;0.0;Test.Set;69.64
3;0.00001;0.000001;-8.0;Train.Set;76.44
3;0.00001;0.000001;-8.0;Test.Set;69.85
3;0.00001;0.000001;-4.0;Train.Set;77.92
3;0.00001;0.000001;-4.0;Test.Set;70.58
3;0.00001;0.000001;-2.0;Train.Set;78.10
3;0.00001;0.000001;-2.0;Test.Set;70.29
3;0.00001;0.000001;0.0;Train.Set;77.68
3;0.00001;0.000001;0.0;Test.Set;69.32
3;0.000001;0.1;-8.0;Train.Set;68.27
3;0.000001;0.1;-8.0;Test.Set;65.87
3;0.000001;0.1;-4.0;Train.Set;70.14
3;0.000001;0.1;-4.0;Test.Set;67.39
3;0.000001;0.1;-2.0;Train.Set;70.39
3;0.000001;0.1;-2.0;Test.Set;67.59
3;0.000001;0.1;0.0;Train.Set;69.75
3;0.000001;0.1;0.0;Test.Set;66.72
3;0.000001;0.01;-8.0;Train.Set;75.22
3;0.000001;0.01;-8.0;Test.Set;69.45
