Feature.Type;Context;INSWORD;Evaluation.Set;Acc
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;-2.0;Train.Subset;71.78
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;-2.0;Test.Set;65.21
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;0.0;Train.Subset;70.98
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;0.0;Test.Set;63.89
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;2.0;Train.Subset;67.97
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;2.0;Test.Set;60.38
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;4.0;Train.Subset;60.99
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;4.0;Test.Set;52.33
MFC_E_D_Z;0;-32.0;Train.Subset;49.48
MFC_E_D_Z;0;-32.0;Test.Set;48.00
MFC_E_D_Z;0;-16.0;Train.Subset;57.84
MFC_E_D_Z;0;-16.0;Test.Set;56.23
MFC_E_D_Z;0;-8.0;Train.Subset;62.81
MFC_E_D_Z;0;-8.0;Test.Set;60.59
MFC_E_D_Z;0;-4.0;Train.Subset;63.58
MFC_E_D_Z;0;-4.0;Test.Set;61.19
MFC_E_D_Z;0;-2.0;Train.Subset;62.44
MFC_E_D_Z;0;-2.0;Test.Set;59.87
MFC_E_D_Z;0;0.0;Train.Subset;59.52
MFC_E_D_Z;0;0.0;Test.Set;56.57
MFC_E_D_Z;0;2.0;Train.Subset;53.52
MFC_E_D_Z;0;2.0;Test.Set;50.33
MFC_E_D_Z;0;4.0;Train.Subset;43.27
MFC_E_D_Z;0;4.0;Test.Set;40.03
MFC_E_D_Z;-1,0,1;-32.0;Train.Subset;54.01
MFC_E_D_Z;-1,0,1;-32.0;Test.Set;51.70
MFC_E_D_Z;-1,0,1;-16.0;Train.Subset;63.61
MFC_E_D_Z;-1,0,1;-16.0;Test.Set;60.80
MFC_E_D_Z;-1,0,1;-8.0;Train.Subset;68.44
MFC_E_D_Z;-1,0,1;-8.0;Test.Set;65.04
MFC_E_D_Z;-1,0,1;-4.0;Train.Subset;69.24
MFC_E_D_Z;-1,0,1;-4.0;Test.Set;65.63
MFC_E_D_Z;-1,0,1;-2.0;Train.Subset;68.52
MFC_E_D_Z;-1,0,1;-2.0;Test.Set;64.82
MFC_E_D_Z;-1,0,1;0.0;Train.Subset;66.49
MFC_E_D_Z;-1,0,1;0.0;Test.Set;62.50
MFC_E_D_Z;-1,0,1;2.0;Train.Subset;62.35
MFC_E_D_Z;-1,0,1;2.0;Test.Set;58.12
MFC_E_D_Z;-1,0,1;4.0;Train.Subset;55.28
MFC_E_D_Z;-1,0,1;4.0;Test.Set;50.67
MFC_E_D_Z;-2,-1,0,1,2;-32.0;Train.Subset;55.50
MFC_E_D_Z;-2,-1,0,1,2;-32.0;Test.Set;52.70
MFC_E_D_Z;-2,-1,0,1,2;-16.0;Train.Subset;65.01
MFC_E_D_Z;-2,-1,0,1,2;-16.0;Test.Set;61.85
MFC_E_D_Z;-2,-1,0,1,2;-8.0;Train.Subset;69.95
MFC_E_D_Z;-2,-1,0,1,2;-8.0;Test.Set;66.10
MFC_E_D_Z;-2,-1,0,1,2;-4.0;Train.Subset;70.93
MFC_E_D_Z;-2,-1,0,1,2;-4.0;Test.Set;66.71
MFC_E_D_Z;-2,-1,0,1,2;-2.0;Train.Subset;70.54
MFC_E_D_Z;-2,-1,0,1,2;-2.0;Test.Set;66.16
MFC_E_D_Z;-2,-1,0,1,2;0.0;Train.Subset;68.97
MFC_E_D_Z;-2,-1,0,1,2;0.0;Test.Set;64.19
MFC_E_D_Z;-2,-1,0,1,2;2.0;Train.Subset;65.83
MFC_E_D_Z;-2,-1,0,1,2;2.0;Test.Set;60.57
MFC_E_D_Z;-2,-1,0,1,2;4.0;Train.Subset;59.92
MFC_E_D_Z;-2,-1,0,1,2;4.0;Test.Set;54.18
MFC_E_D_Z;-3,-2,-1,0,1,2,3;-32.0;Train.Subset;55.52
MFC_E_D_Z;-3,-2,-1,0,1,2,3;-32.0;Test.Set;52.70
MFC_E_D_Z;-3,-2,-1,0,1,2,3;-16.0;Train.Subset;65.23
MFC_E_D_Z;-3,-2,-1,0,1,2,3;-16.0;Test.Set;61.88
MFC_E_D_Z;-3,-2,-1,0,1,2,3;-8.0;Train.Subset;70.04
MFC_E_D_Z;-3,-2,-1,0,1,2,3;-8.0;Test.Set;66.13
